id,2016,2015,2014,2013,2012,2011,2010
4,88.1,88,87.9,87.8,87.7,87.6,87.5
8,73.9,74,74.2,74.3,74.5,74.6,74.7
12,83.8,83.8,83.9,83.9,84,84,84.1
24,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0
32,84.8,84.8,84.9,84.9,84.9,85,85
51,77.7,77.9,78,78.1,78.1,78.2,78.3
36,89,88.9,88.8,88.6,88.5,88.4,88.2
40,77.8,77.9,78,78.1,78.2,78.3,78.4
31,0,0,0,0,0,0,0
44,84.4,84.4,84.4,84.5,84.5,84.5,84.5
50,66.1,66.5,66.9,67.3,67.7,68.1,68.5
112,0,0,0,0,0,0,0
56,83.5,83.5,83.5,83.5,83.5,83.5,83.5
84,80.3,80.4,80.5,80.6,80.7,80.8,81
204,75.9,76.2,76.5,76.8,77.1,77.4,77.7
64,84.1,84,84,84,83.9,83.9,83.9
68,85.5,85.5,85.5,85.4,85.4,85.4,85.4
70,0,0,0,0,0,0,0
72,87.5,87.5,87.5,87.4,87.4,87.4,87.4
76,83.6,83.7,83.7,83.8,83.9,83.9,84
96,87.1,87.1,87.2,87.2,87.2,87.3,87.3
100,73.3,73.5,73.7,73.8,74,74.1,74.3
854,0,0,0,0,0,0,0
108,0,0,0,0,0,0,0
116,91.6,91.5,91.4,91.3,91.2,91.2,91.1
120,0,0,0,0,0,0,0
124,76.3,76.4,76.5,76.7,76.8,76.9,77.1
140,0,0,0,0,0,0,0
148,0,0,0,0,0,0,0
152,87.6,87.6,87.6,87.5,87.5,87.5,87.5
156,84.3,84.3,84.4,84.5,84.6,84.6,84.7
170,83.9,84,84,84,84,84,84.1
178,0,0,0,0,0,0,0
180,0,0,0,0,0,0,0
188,82,82.1,82.2,82.3,82.4,82.5,82.6
384,0,0,0,0,0,0,0
191,76.8,76.9,77,77.1,77.3,77.4,77.5
192,0,0,0,0,0,0,0
196,0,0,0,0,0,0,0
203,77.4,77.5,77.5,77.5,77.6,77.6,77.7
208,84.5,84.4,84.3,84.3,84.2,84.1,84
262,85.2,85.3,85.4,85.4,85.5,85.5,85.6
214,0,0,0,0,0,0,0
218,86.5,86.5,86.5,86.5,86.5,86.4,86.4
818,87.5,87.5,87.4,87.4,87.4,87.4,87.4
222,86.1,86.1,86.1,86.1,86,86,86
226,0,0,0,0,0,0,0
