id,2016,2015,2014,2013,2012,2011,2010
4,0,0.01,0.01,0.01,0.01,0.01,0.01
8,1.74,1.57,1.58,1.82,1.81,1.88,1.72
12,0.32,0.31,0.28,0.26,0.23,0.21,0.18
24,3.3,3.66,5.06,5.02,5.17,4.98,4.75
10,0,0,0,0,0,0,0
32,0,3.36,3.36,3.32,3.21,3.15,3.32
51,0.4,0.46,0.51,0.42,0.25,0.33,0.39
36,3.87,3.76,4.01,4.04,4.14,4.31,4.51
40,0,6.1,6.3,6,6.3,6.1,6.1
31,0.24,0.3,0.19,0.31,0.29,0.28,0.29
44,0,3.39,3.53,3.47,3.41,3.34,3.23
50,0,0,0,0,0,0,0
112,2.29,2.29,2.48,2.55,2.53,2.6,2.47
56,0,4.6,4.72,4.6,4.78,4.89,5.03
84,0,4.29,4.18,4.18,4.21,4.26,4.35
204,0,0.99,1,0.88,0.95,0.79,0.67
64,0,0,0,0.09,0.13,0.03,1.06
68,2.6,2.65,2.7,2.69,2.77,2.85,2.97
70,3.37,3.28,3.2,3.28,3.5,3.43,3.33
72,0,2.99,2.84,2.54,2.2,2.23,2.34
76,3.9,4.45,4.53,4.36,4.52,4.4,4.34
96,0,0.64,0.64,0.64,0.65,0.85,0.82
100,4.45,4.22,4.06,4.26,4.3,4.1,4.01
854,0,0.88,0.85,0.67,0.63,0.53,0.46
108,0,0,0,0,0,1.63,1.59
116,3.08,2.92,2.63,2.37,2.09,1.98,1.75
120,0,2.83,3.01,2.98,2.81,2.5,2.53
124,3.7,3.7,3.8,3.9,4,4,4.2
140,0,0.43,0.36,0.22,0.31,0.32,0.29
148,0,0.48,0.47,0.42,0.37,0.37,0.32
152,0,2.85,2.79,2.67,2.55,2.51,2.35
156,1.7,1.76,1.88,1.9,1.83,1.77,1.67
170,3.18,3.13,2.99,2.98,2.99,2.9,2.8
178,0,4.1,4.13,3.96,3.88,3.76,3.53
180,0,0.54,0.73,0.77,0.68,0.66,0.59
188,2.38,2.31,2.27,2.24,2.23,2.12,2.11
384,0,1.05,0.93,0.8,0.79,0.72,0.7
191,4.59,4.5,4.26,4.62,4.57,4.74,4.5
192,1.71,1.78,1.73,1.69,1.65,1.63,1.61
196,0,2.84,3.21,3.3,3.48,3.53,3.78
