id,2016,2015,2014,2013,2012,2011,2010
4,87.8,87.7,87.7,87.6,87.6,87.5,87.5
8,80.6,80.6,80.5,80.5,80.5,80.5,80.5
12,91.3,91.3,91.3,91.2,91.2,91.2,91.1
24,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0
32,89.9,89.8,89.8,89.8,89.8,89.8,89.8
51,82.8,82.8,82.9,82.9,83,83,83.1
36,91.4,91.4,91.3,91.3,91.3,91.2,91.2
40,84.5,84.5,84.5,84.5,84.5,84.4,84.4
31,0,0,0,0,0,0,0
44,88.2,88.2,88.2,88.2,88.2,88.2,88.2
50,69.2,69.3,69.4,69.5,69.6,69.7,69.8
112,0,0,0,0,0,0,0
56,88,88,88,88,88,88,88
84,84.2,84.2,84.2,84.2,84.3,84.3,84.3
204,80.7,80.7,80.8,80.8,80.9,80.9,81
64,85.4,85.4,85.3,85.2,85.2,85.1,85.1
68,88.6,88.6,88.6,88.5,88.5,88.5,88.5
70,0,0,0,0,0,0,0
72,88.9,88.8,88.8,88.8,88.8,88.8,88.8
76,89.4,89.4,89.4,89.3,89.3,89.3,89.3
96,93.5,93.5,93.5,93.4,93.4,93.4,93.4
100,80.1,80.1,80.1,80.1,80.1,80.1,80.1
854,0,0,0,0,0,0,0
108,0,0,0,0,0,0,0
116,93.4,93.4,93.3,93.3,93.3,93.2,93.2
120,0,0,0,0,0,0,0
124,82.4,82.4,82.4,82.4,82.4,82.4,82.4
140,0,0,0,0,0,0,0
148,0,0,0,0,0,0,0
152,91.2,91.2,91.1,91.1,91.1,91.1,91.1
156,89.1,89.1,89,89,89,89,88.9
170,87,87,87,86.9,86.9,86.9,86.9
178,0,0,0,0,0,0,0
180,0,0,0,0,0,0,0
188,88.2,88.1,88.1,88.1,88,88,88
384,0,0,0,0,0,0,0
191,84,84,84,84,84,83.9,83.9
192,0,0,0,0,0,0,0
196,0,0,0,0,0,0,0
203,82,82,82,82,82,82,82
208,87,87,86.9,86.9,86.8,86.8,86.7
262,89.3,89.3,89.3,89.3,89.3,89.3,89.3
214,0,0,0,0,0,0,0
218,90,90,89.9,89.9,89.9,89.9,89.8
818,93.1,93.1,93.1,93.1,93,93,93
222,89.5,89.5,89.5,89.4,89.4,89.4,89.3
226,0,0,0,0,0,0,0
232,0,0,0,0,0,0,0
233,87.7,87.7,87.6,87.6,87.6,87.6,87.5
231,0,0,0,0,0,0,0
238,0,0,0,0,0,0,0
242,86,86,86,86,86,86,86
246,82.1,82.2,82.2,82.3,82.3,82.3,82.4
250,91.8,91.8,91.7,91.7,91.7,91.7,91.6
260,0,0,0,0,0,0,0
266,0,0,0,0,0,0,0
270,0,0,0,0,0,0,0
268,0,0,0,0,0,0,0
276,87.9,87.9,87.9,87.9,87.8,87.8,87.8
288,88.4,88.4,88.3,88.3,88.3,88.3,88.3
300,89.1,89,89,88.9,88.9,88.8,88.8
304,0,0,0,0,0,0,0
320,89.4,89.4,89.4,89.3,89.3,89.2,89.2
324,0,0,0,0,0,0,0
624,0,0,0,0,0,0,0
328,86.3,86.3,86.3,86.3,86.3,86.3,86.3
332,0,0,0,0,0,0,0
340,87.6,87.5,87.5,87.5,87.5,87.4,87.4
348,85.8,85.7,85.7,85.7,85.7,85.7,85.7
352,85.2,85.2,85.2,85.3,85.3,85.3,85.3
356,76.3,76.3,76.4,76.4,76.4,76.4,76.4
360,87.4,87.4,87.4,87.3,87.3,87.3,87.3
364,0,0,0,0,0,0,0
368,90.5,90.4,90.4,90.4,90.4,90.4,90.3
372,80.5,80.5,80.5,80.5,80.5,80.5,80.5
376,89.5,89.5,89.5,89.4,89.4,89.4,89.4
380,91.5,91.4,91.3,91.3,91.2,91.2,91.1
388,0,0,0,0,0,0,0
392,0,0,0,0,0,0,0
400,88.4,88.4,88.4,88.4,88.4,88.4,88.3
398,0,0,0,0,0,0,0
404,88.9,88.8,88.8,88.8,88.8,88.8,88.7
408,0,0,0,0,0,0,0
410,97.2,97.2,97.2,97.1,97.1,97.1,97
414,90,90,90,90,90,90,90
417,0,0,0,0,0,0,0
418,91,91,91,90.9,90.9,90.9,90.8
428,84.2,84.2,84.2,84.2,84.2,84.2,84.2
422,87.9,87.9,87.9,87.9,87.9,87.9,87.8
426,0,0,0,0,0,0,0
430,0,0,0,0,0,0,0
434,88.6,88.6,88.6,88.5,88.5,88.5,88.5
440,84.5,84.5,84.5,84.5,84.4,84.4,84.4
442,85.4,85.4,85.4,85.4,85.4,85.5,85.5
807,0,0,0,0,0,0,0
450,0,0,0,0,0,0,0
454,0,0,0,0,0,0,0
458,91.4,91.4,91.4,91.4,91.3,91.3,91.3
466,0,0,0,0,0,0,0
478,91.4,91.3,91.3,91.3,91.2,91.2,91.2
484,87.6,87.6,87.6,87.6,87.6,87.6,87.6
498,78.2,78.2,78.3,78.3,78.3,78.4,78.4
496,83.4,83.5,83.5,83.5,83.5,83.5,83.5
499,0,0,0,0,0,0,0
504,90.1,90,90,90,89.9,89.9,89.8
508,91.3,91.2,91.2,91.2,91.1,91.1,91.1
104,89.6,89.6,89.5,89.5,89.5,89.4,89.4
516,88.4,88.3,88.3,88.3,88.3,88.3,88.2
524,85.3,85.2,85.2,85.1,85.1,85,85
528,83.9,83.9,83.9,83.8,83.8,83.8,83.8
540,0,0,0,0,0,0,0
554,92.7,92.7,92.6,92.6,92.6,92.5,92.5
558,0,0,0,0,0,0,0
562,0,0,0,0,0,0,0
566,0,0,0,0,0,0,0
578,88.6,88.6,88.6,88.6,88.6,88.5,88.5
512,89.8,89.8,89.8,89.7,89.7,89.6,89.6
586,88.6,88.6,88.5,88.5,88.4,88.4,88.3
275,0,0,0,0,0,0,0
591,0,0,0,0,0,0,0
598,0,0,0,0,0,0,0
600,88.2,88.1,88.1,88.1,88.1,88.1,88.1
604,86.8,86.8,86.8,86.8,86.8,86.8,86.8
608,94.1,94.1,94.1,94.1,94.1,84.2,84.3
616,84.2,84.2,84.2,84.2,84.2,90.5,90.4
620,90.7,90.7,90.6,90.6,90.5,0,0
630,0,0,0,0,0,90.8,90.8
