id,2016,2015,2014,2013,2012,2011,2010,
4,7.6,7.3,7,6.6,6.3,6,5.7,
8,21.8,21.3,20.8,20.4,19.9,19.4,18.9,
12,34.9,34.2,33.6,32.9,32.2,31.5,30.9,
24,12.1,11.6,11.1,10.6,10.2,9.7,9.3,
10,0,0,0,0,0,0,0,none
32,29,28.5,28.1,27.6,27.2,26.7,26.3,
51,23,22.6,22.1,21.7,21.2,20.8,20.4,
36,28.4,27.9,27.4,26.9,26.4,25.9,25.4,
40,18.3,18,17.7,17.3,17,16.7,16.4,
31,23.6,23,22.4,21.8,21.2,20.7,20.1,
44,38.1,37.6,37.2,36.7,36.3,35.8,35.4,
50,5,4.7,4.4,4.2,4,3.8,3.6,
112,26.3,26,25.8,25.6,25.3,25.1,24.9,
56,21,20.7,20.5,20.3,20.1,19.9,19.7,
84,31.5,30.9,30.3,29.8,29.2,28.7,28.1,
204,14.2,13.7,13.2,12.7,12.3,11.8,11.4,
64,8.5,8.1,7.8,7.4,7.1,6.7,6.4,
68,25.6,25,24.5,24,23.5,23,22.5,
70,18.4,18.1,17.8,17.4,17.1,16.8,16.5,
72,29.3,28.9,28.4,27.9,27.5,27,26.5,
76,25.4,24.9,24.4,23.9,23.4,22.9,22.5,
96,15.7,15.3,14.8,14.3,13.9,13.4,13,
100,24.3,24,23.7,23.4,23.1,22.8,22.5,
854,8.1,7.7,7.3,6.9,6.5,6.1,5.8,
108,8.6,8.2,7.8,7.4,7.1,6.7,6.4,
116,4.8,4.6,4.3,4.1,3.9,3.7,3.5,
120,16.4,15.9,15.4,14.9,14.4,13.9,13.4,
124,29.3,28.8,28.3,27.7,27.2,26.7,26.2,
140,10.9,10.5,10.1,9.7,9.4,9,8.7,
148,8.9,8.5,8.2,7.9,7.5,7.2,6.9,
152,31,30.5,30,29.6,29.1,28.7,28.2,
156,6.5,6.2,6,5.7,5.5,5.2,5,
170,26.6,26.1,25.7,25.2,24.7,24.3,23.8,
178,13.5,13.1,12.7,12.3,11.9,11.5,11.1,
180,0,0,0,0,0,0,0,none
188,30.4,29.7,29,28.3,27.6,26.9,26.2,
384,15.2,14.7,14.2,13.7,13.2,12.7,12.2,
191,24.5,24.1,23.7,23.3,22.9,22.6,22.2,
192,30.3,29.9,29.4,29,28.5,28.1,27.6,
196,21.6,21.4,21.1,20.9,20.7,20.5,20.2,
203,25.4,25.2,25,24.7,24.5,24.3,24,
208,17,16.7,16.5,16.2,16,15.7,15.5,
262,18.3,18,17.6,17.3,16.9,16.6,16.3,
214,34.1,33.4,32.7,31.9,31.2,30.4,29.6,
218,24.7,24.2,23.7,23.3,22.8,22.4,21.9,
818,41.1,40.4,39.7,39,38.3,37.6,37,
222,28.9,28.4,27.8,27.2,26.6,26.1,25.5,
226,12.6,12.2,11.7,11.3,10.9,10.5,10.2,
232,7.6,7.2,6.9,6.5,6.2,5.9,5.6,
233,21.8,21.6,21.4,21.3,21.1,21,20.8,
231,6.9,6.6,6.3,5.9,5.7,5.4,5.1,
238,0,0,0,0,0,0,0,none
242,35.3,34.7,34.2,33.6,33.1,32.6,32,
246,20.6,20.3,20,19.7,19.5,19.2,18.9,
250,21.1,20.8,20.5,20.3,20,19.7,19.5,
260,0,0,0,0,0,0,0,none
266,20.3,19.9,19.5,19.1,18.7,18.3,17.9,
270,14.8,14.3,13.8,13.3,12.9,12.4,11.9,
268,23.8,23.1,22.5,22,21.4,20.8,20.3,
276,20.4,20.1,19.8,19.5,19.2,18.9,18.6,
288,16.6,16.1,15.6,15.1,14.6,14.1,13.6,
300,25.4,25.1,24.9,24.6,24.3,24,23.7,
304,0,0,0,0,0,0,0,none
320,26.4,25.8,25.2,24.6,24,23.4,22.8,
