id,2016,2015,2014,2013,2012,2011,2010
4,88.5,88.3,88.2,88,87.8,87.7,87.5
8,67.6,67.9,68.2,68.5,68.8,69.1,69.4
12,76.4,76.6,76.7,76.9,77,77.2,77.3
24,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0
32,79.9,80,80.1,80.2,80.2,80.3,80.4
51,73,73.3,73.5,73.8,74.1,74.3,74.6
36,86.8,86.6,86.4,86.2,85.9,85.7,85.5
40,71.2,71.5,71.7,72,72.2,72.4,72.7
31,0,0,0,0,0,0,0
44,80.6,80.7,80.8,80.8,80.9,80.9,81
50,63.2,63.9,64.5,65.2,65.9,66.5,67.2
112,0,0,0,0,0,0,0
56,79.2,79.2,79.2,79.2,79.2,79.2,79.3
84,76.4,76.6,76.8,77,77.2,77.4,77.6
204,71.3,71.8,72.4,72.9,73.4,73.9,74.4
64,82.8,82.8,82.7,82.7,82.7,82.7,82.7
68,82.4,82.4,82.4,82.4,82.5,82.5,82.5
70,0,0,0,0,0,0,0
72,86.1,86.1,86.1,86.1,86.1,86.1,86
76,78.1,78.3,78.4,78.6,78.7,78.9,84
96,81.1,81.2,81.3,81.4,81.5,81.6,81.7
100,67,67.3,67.6,67.9,68.2,68.5,68.8
854,0,0,0,0,0,0,0
108,0,0,0,0,0,0,0
116,89.8,89.7,89.6,89.4,89.3,89.2,89.1
120,0,0,0,0,0,0,0
124,70.5,70.8,71,71.3,71.5,71.7,72
140,0,0,0,0,0,0,0
148,0,0,0,0,0,0,0
152,84.2,84.1,84.1,84.1,84.1,84.1,84
156,80.1,80.2,80.4,80.5,80.7,80.8,81
170,81,81.1,81.1,81.2,81.2,81.3,81.3
178,0,0,0,0,0,0,0
180,0,0,0,0,0,0,0
188,0,0,0,0,0,0,0
384,76.1,76.3,76.5,76.8,77,77.2,77.4
191,0,0,0,0,0,0,0
192,70.1,70.3,70.5,70.7,70.9,71.1,71.3
196,0,0,0,0,0,0,0
203,0,0,0,0,0,0,0
208,73.1,73.2,73.2,73.3,73.4,73.5,73.6
262,82.1,82,81.9,81.8,81.6,81.5,81.4
214,81.3,81.4,81.5,81.7,81.8,81.9,82
218,82.1,82.1,82.1,82.2,82.2,82.2,82.2
818,0,0,0,0,0,0,0
222,83.2,83.2,83.2,83.2,83.1,83.1,83.1
226,82.1,82.1,82.1,82.1,82.1,82.1,82
232,82.8,82.8,82.8,82.8,82.8,82.8,82.8
233,0,0,0,0,0,0,0
231,0,0,0,0,0,0,0
238,80.6,80.5,80.4,80.3,80.2,80.1,80
242,0,0,0,0,0,0,0
246,0,0,0,0,0,0,0
250,80.7,80.9,81,81.1,81.2,81.3,81.4
260,69,69.4,69.7,70.1,70.4,70.7,71.1
266,82.4,82.3,82.2,82.2,82.1,82,81.9
270,0,0,0,0,0,0,0
268,0,0,0,0,0,0,0
276,0,0,0,0,0,0,0
288,0,0,0,0,0,0,0
300,79.7,79.7,79.7,79.7,79.6,79.6,79.6
304,86.6,86.5,86.5,86.5,86.5,86.4,86.4
320,80,80,79.9,79.9,79.8,79.8,79.7
324,0,0,0,0,0,0,0
624,84.5,84.4,84.3,84.3,84.2,84.2,84.1
328,0,0,0,0,0,0,0
332,0,0,0,0,0,0,0
340,81.7,81.7,81.8,81.8,81.8,81.9,81.9
348,0,0,0,0,0,0,0
352,80.2,80.3,80.4,80.5,80.5,80.6,80.7
356,73.5,73.6,73.7,73.8,73.9,74,74.1
360,75.4,75.5,75.6,75.7,75.8,75.9,76
364,71.8,72.1,72.5,72.8,73.1,73.4,73.8
368,85.4,85.4,85.4,85.4,85.3,85.3,85.3
372,0,0,0,0,0,0,0
376,79.9,79.9,79.9,80,80,80,80.1
380,63.5,64,64.5,65,65.4,65.9,66.4
388,80.1,80,80,79.9,79.9,79.8,79.7
392,85.9,85.7,85.6,85.4,85.2,85,84.8
400,0,0,0,0,0,0,0
398,0,0,0,0,0,0,0
404,81.3,81.3,81.3,81.3,81.3,81.3,81.2
408,0,0,0,0,0,0,0
410,84.9,84.9,84.9,84.9,85,85,85
414,0,0,0,0,0,0,0
417,91.4,91.2,91.1,91,90.8,90.7,90.5
418,79.4,79.5,79.5,79.5,79.6,79.6,79.6
428,0,0,0,0,0,0,0
422,78,78.3,78.5,78.8,79,79.2,79.5
426,76.2,76.2,76.2,76.2,76.2,76.2,76.2
430,76,76.1,76.3,76.4,76.5,76.7,76.8
434,0,0,0,0,0,0,0
440,0,0,0,0,0,0,0
442,78,78.1,78.2,78.3,78.4,78.5,78.5
807,76,76,76,76,76,76,76
450,73.4,73.6,73.8,74,74.2,74.4,74.6
454,0,0,0,0,0,0,0
458,0,0,0,0,0,0,0
466,0,0,0,0,0,0,0
478,80.6,80.7,80.8,81,81.1,81.2,81.4
484,0,0,0,0,0,0,0
498,83.2,83.3,83.4,83.5,83.5,83.6,83.7
496,78.8,79,79.1,79.2,79.3,79.4,79.5
499,73.3,73.4,73.5,73.6,73.7,73.8,73.9
