id,2016,2015,2014,2013,2012,2011,2010,
4,3.2,3,2.8,2.7,2.5,2.4,2.2,
8,21.6,20.9,20.2,19.5,18.8,18.1,17.4,
12,19.9,19.2,18.5,17.8,17.1,16.5,15.8,
24,4,3.8,3.6,3.3,3.1,2.9,2.8,
10,0,0,0,0,0,0,0,none
32,27.3,26.8,26.2,25.7,25.1,24.6,24.1,
51,17.1,16.6,16.1,15.7,15.2,14.8,14.4,
36,29.6,28.9,28.3,27.7,27,26.4,25.8,
40,21.9,21.3,20.8,20.3,19.8,19.3,18.8,
31,15.8,15.3,14.7,14.2,13.7,13.2,12.7,
44,24.4,23.8,23.2,22.6,22.1,21.5,21,
50,2.3,2.1,2,1.8,1.7,1.6,1.5,
112,22.1,21.6,21.1,20.6,20.1,19.6,19.1,
56,23.1,22.6,22.2,21.7,21.3,20.8,20.4,
84,16.5,16,15.5,15,14.5,14,13.6,
204,4.7,4.5,4.2,4,3.8,3.6,3.5,
64,4.7,4.4,4.2,3.9,3.7,3.5,3.2,
68,14.5,14,13.6,13.1,12.7,12.3,11.9,
70,17.1,16.7,16.2,15.8,15.3,14.9,14.5,
72,8.1,7.8,7.5,7.2,6.9,6.6,6.4,
76,18.5,18,17.5,17,16.5,16,15.5,
96,12.5,11.9,11.3,10.8,10.3,9.8,9.3,
100,25.5,24.9,24.4,23.8,23.2,22.7,22.1,
854,2.6,2.4,2.2,2.1,2,1.8,1.7,
108,2.1,2,1.9,1.8,1.7,1.6,1.5,
116,2.7,2.5,2.4,2.2,2.1,1.9,1.8,
120,6.1,5.8,5.5,5.3,5,4.8,4.5,
124,29.5,28.8,28.2,27.6,27,26.4,25.8,
140,3.7,3.5,3.3,3.2,3,2.9,2.7,
148,3.1,2.9,2.8,2.6,2.5,2.4,2.3,
152,24.9,24.4,23.8,23.3,22.8,22.3,21.8,
156,5.9,5.5,5.1,4.8,4.5,4.2,3.9,
170,17.6,17.1,16.6,16.1,15.6,15.2,14.7,
