id,name,population,2016,2015,2014,2013,2012,2011,2010
4,Afghanistan,1,0,0.02,0.03,0.03,0.04,0.04,0.03
8,Albania,1,5.07,4.77,4.81,5.06,5.43,5.65,5.53
12,Algeria,1,0.56,0.56,0.56,0.54,0.49,0.44,0.39
24,Angola,1,4.7,5.65,9,8.02,8.14,7.86,7.67
10,Antarctica,1,0,0,0,0,0,0,0
32,Argentina,1,0,8.42,7.93,8.2,8.35,8.11,8.15
51,Armenia,1,3.77,3.84,3.97,3.72,3.84,4.06,4.23
36,Australia,1,9.71,9.52,9.71,9.87,10.03,10.3,10.52
40,Austria,1,0,11.4,12.2,11.6,12.1,11.9,12.1
31,Azerbaijan,1,0.39,0.84,1.95,2.04,1.98,1.94,1.9
44,Bahamas,1,0,8.65,8.62,8.55,8.86,8.94,8.75
50,Bangladesh,1,0,0.01,0.01,0.01,0.01,0.01,0.01
112,Belarus,1,10.05,10.09,11.71,12.37,14.14,15.05,13.88
56,Belgium,1,0,10.36,10.57,10.33,10.09,10.14,10.27
84,Belize,1,0,6.2,6.17,6.17,6.28,6.26,6.38
204,Benin,1,0,1.55,1.6,1.45,1.42,1.44,1.37
64,Bhutan,1,0,0,0,0.19,0.4,0.18,1.16
68,"Bolivia, Plurinational State of",1,3.57,3.61,3.69,3.73,3.82,3.86,3.9
70,Bosnia and Herzegovina,1,4.44,4.33,4.34,4.43,4.69,4.65,4.5
72,Botswana,1,0,6.22,5.47,4.72,5.13,6,5.61
76,Brazil,1,6.31,6.97,7.17,7.1,7.31,7.43,7.38
96,Brunei Darussalam,1,0,0.64,0.64,0.64,0.65,0.94,0.87
100,Bulgaria,1,11.49,11.3,10.67,10.74,11.3,11.05,10.83
854,Burkina Faso,1,0,4.87,4.85,4.63,4.64,4.51,4.65
108,Burundi,1,0,0,0,0,0,4.16,4.16
116,Cambodia,1,3.5,3.32,3.04,2.78,2.5,2.38,2.14
120,Cameroon,1,0,6.5,6.71,6.67,6.35,6.12,6.17
124,Canada,1,8.2,8,8.1,8.2,8.3,8.2,8.4
140,Central African Republic,1,0,1.68,1.59,1.46,1.72,1.77,1.82
148,Chad,1,0,0.69,0.68,0.63,0.63,0.6,0.55
152,Chile,1,0,7.89,7.92,7.23,8.35,7.02,7.55
156,China,1,5.74,5.74,5.81,5.81,5.74,5.65,5.75
170,Colombia,1,4.46,4.43,4.3,4.33,4.35,4.29,4.21
178,Congo,1,0,4.86,4.93,4.71,4.46,4.34,4.12
180,"Congo, the Democratic Republic of the",1,0,0,0,0,0,,0
188,Costa Rica,1,3.7,3.63,3.56,3.53,3.43,3.49,3.65
384,Cote d'Ivoire,1,0,4.79,4.67,4.56,4.69,4.61,4.77
191,Croatia,1,10.32,9.89,10.64,11.64,11.92,12.43,12.11
192,Cuba,1,4.59,4.6,4.48,4.32,4.15,4.15,4.1
196,Cyprus,1,0,9.55,9.59,9.04,10.56,10.7,11.32
203,Czech Republic,1,12.99,12.82,13.06,12.84,12.97,12.61,12.65
208,Denmark,1,9.55,9.38,9.53,9.43,9.1,10.22,10.24
262,Djibouti,1,0.36,0.37,0.34,0.52,0.47,0.51,0.5
214,Dominican Republic,1,5.5,6.14,6.02,6.03,6.02,6.01,6.12
218,Ecuador,1,3.17,3.67,3.8,3.78,3.92,4,3.96
818,Egypt,1,0.18,0.18,0.2,0.2,0.2,0.2,0.21
222,El Salvador,1,2.68,2.57,2.47,2.36,2.42,2.31,2.29
226,Equatorial Guinea,1,0,9.85,10.23,10.16,11.65,10.78,9.76
232,Eritrea,1,0,0,0,0,0,0.62,0.61
233,Estonia,1,15.35,16.64,17.29,17.75,16.96,16.27,14.97
231,Ethiopia,1,,1.43,1.43,1.43,1.4,0.86,0.88
238,Falkland Islands (Malvinas),,0,0,0,0,0,0,0
242,Fiji,1,0,2.21,2.32,2.3,2.24,2.13,2.25
246,Finland,1,8.43,8.51,8.75,9.07,9.27,9.81,9.72
250,France,1,11.74,11.87,11.97,11.64,12.24,12.37,12.33
260,French Southern Territories,1,0,0,0,0,0,0,0
266,Gabon,1,0,9.54,9.54,8.7,8.27,8.65,8.86
270,Gambia,1,0,2.96,2.94,2.89,2.97,2.92,3.06
268,Georgia,1,7.44,7.44,7.23,7.06,7.59,8.68,8.1
276,Germany,1,10.9,11.99,11.6,11.67,11.76,11.87,11.35
288,Ghana,1,0,1.56,1.56,1.6,1.79,1.86,1.94
300,Greece,1,6.52,6.64,6.99,7.52,7.62,8.03,8.99
304,Greenland,1,0,0,0,0,0,0,0
320,Guatemala,1,1.62,1.62,1.65,1.81,1.9,2.02,1.99
324,Guinea,1,0,0.34,0.28,0.22,0.22,0.22,0.2
624,Guinea-Bissau,1,0,2.81,2.8,2.69,2.83,2.96,2.83
328,Guyana,1,5.31,4.75,5.2,5.11,5.13,5.11,5.08
332,Haiti,1,0,5.81,5.81,5.81,5.81,5.71,5.77
340,Honduras,1,2.86,2.84,2.64,2.92,2.92,2.94,2.91
348,Hungary,1,0,10.9,10.88,10.7,11.14,11.35,10.75
352,Iceland,1,7.5,7.66,7.01,6.8,6.82,6.84,6.79
356,India,1,3.04,3,3.02,3.05,3.06,2.96,2.74
360,Indonesia,1,0.29,0.28,0.28,0.28,0.1,0.09,0.09
364,"Iran, Islamic Republic of",1,0,0.01,0.01,0.01,0.02,0.03,0.03
368,Iraq,1,0,0.17,0.17,0.17,0.19,0.18,0.19
