id,2016,2015,2014,2013,2012,2011,2010
4,5.5,5.2,4.9,4.7,4.4,4.2,4
8,21.7,21.1,20.5,19.9,19.3,18.8,18.2
12,27.4,26.7,26,25.3,24.7,24,23.3
24,8.2,7.9,7.5,7.1,6.8,6.5,6.2
10,0,0,0,0,0,0,0
32,28.3,27.8,27.3,26.8,26.3,25.8,25.3
51,20.2,19.7,19.2,18.8,18.3,17.9,17.5
36,29,28.4,27.9,27.3,26.7,26.2,25.6
40,20.1,19.7,19.2,18.8,18.4,18,17.6
31,19.9,19.3,18.8,18.2,17.7,17.2,16.6
44,31.6,31,30.5,30,29.5,29,28.5
50,3.6,3.4,3.2,3,2.8,2.6,2.5
112,24.5,24.1,23.7,23.4,23,22.7,22.3
56,22.1,21.7,21.4,21,20.7,20.4,20.1
84,24.1,23.6,23,22.5,22,21.5,21
204,9.6,9.3,8.9,8.6,8.2,7.9,7.6
64,6.4,6.1,5.7,5.5,5.2,4.9,4.6
68,20.2,19.7,19.3,18.8,18.3,17.9,17.4
70,17.9,17.5,17.1,16.7,16.3,16,15.6
72,18.9,18.6,18.2,17.9,17.5,17.2,16.9
76,22.1,21.6,21.1,20.6,20.1,19.6,19.2
96,14.1,13.6,13.1,12.6,12.1,11.6,11.1
100,25,24.5,24.1,23.7,23.2,22.8,22.4
854,5.6,5.3,5,4.7,4.5,4.2,4
108,5.4,5.1,4.9,4.6,4.4,4.2,4
116,3.9,3.7,3.5,3.3,3.1,2.9,2.7
120,11.4,11,10.6,10.2,9.8,9.4,9
124,29.4,28.8,28.3,27.7,27.1,26.6,26
140,7.5,7.2,6.9,6.6,6.4,6.1,5.9
148,6.1,5.8,5.6,5.3,5.1,4.9,4.7
152,28,27.5,27,26.5,26.1,25.6,25.1
156,6.2,5.9,5.5,5.2,5,4.7,4.4
170,22.3,21.9,21.4,20.9,20.4,20,19.5
178,9.6,9.2,8.9,8.6,8.3,8,7.7
180,0,0,0,0,0,0,0
188,25.7,25,24.3,23.6,22.9,22.2,21.4
384,10.3,9.8,9.4,9,8.7,8.3,7.9
191,24.4,23.9,23.4,22.9,22.5,22,21.6
192,24.6,24.1,23.6,23.1,22.6,22.2,21.7
196,21.8,21.4,21.1,20.7,20.4,20.1,19.8
203,26,25.6,25.2,24.9,24.5,24.2,23.9
208,19.7,19.3,18.9,18.5,18.1,17.8,17.4
262,13.5,13.2,12.9,12.6,12.3,12,11.8
214,27.6,26.9,26.1,25.3,24.5,23.8,23
218,19.9,19.4,19,18.5,18.1,17.6,17.2
818,32,31.3,30.6,30,29.3,28.6,28
222,24.6,24,23.4,22.8,22.2,21.7,21.1
226,8,7.7,7.4,7.1,6.8,6.5,6.3
232,5,4.8,4.5,4.3,4.1,3.9,3.7
233,21.2,20.9,20.7,20.4,20.1,19.9,19.6
231,4.5,4.3,4,3.8,3.6,3.4,3.3
238,0,,0,0,0,0,0
242,30.2,29.5,28.9,28.3,27.7,27.1,26.5
246,22.2,21.8,21.4,21.1,20.7,20.3,20
250,21.6,21.2,20.8,20.4,20.1,19.7,19.3
260,0,0,0,0,0,0,0
266,15,14.6,14.3,13.9,13.5,13.2,12.8
270,10.3,9.9,9.5,9.1,8.7,8.4,8
268,21.7,21.1,20.5,19.9,19.3,18.7,18.2
276,22.3,21.9,21.5,21.1,20.7,20.3,19.9
288,10.9,10.5,10.1,9.8,9.4,9.1,8.7
300,24.9,24.4,24,23.6,23.2,22.8,22.4
304,0,0,0,0,0,0,0
320,21.2,20.6,20,19.5,18.9,18.4,17.8
324,7.7,7.4,7,6.7,6.4,6.2,5.9
624,9.5,9.1,8.7,8.3,7.9,7.6,7.2
328,20.2,19.6,19,18.4,17.9,17.4,16.8
332,22.7,21.8,21,20.2,19.4,18.6,17.7
340,21.4,20.8,20.1,19.5,19,18.4,17.8
348,26.4,25.9,25.4,25,24.5,24,23.5
352,21.9,21.5,21.1,20.7,20.3,20,19.6
356,3.9,3.7,3.5,3.3,3.1,3,2.8
360,6.9,6.5,6.1,5.8,5.5,5.2,4.9
364,25.8,25.2,24.6,24,23.3,22.7,22.1
368,30.4,29.8,29.2,28.6,28,27.5,26.9
372,25.3,24.7,24,23.4,22.8,22.2,21.6
376,26.1,25.8,25.5,25.1,24.8,24.5,24.2
380,19.9,19.6,19.3,19,18.7,18.3,18.1
388,24.7,24.1,23.5,22.9,22.3,21.7,21.1
392,4.3,4.1,3.9,3.8,3.6,3.5,3.3
400,35.5,34.9,34.3,33.7,33.1,32.5,31.9
398,21,20.5,20,19.5,19,18.5,18
404,7.1,6.8,6.5,6.2,5.9,5.6,5.4
408,6.8,6.5,6.3,6.1,5.9,5.7,5.5
410,4.7,4.5,4.4,4.3,4.1,4,3.9
414,37.9,37.4,36.8,36.2,35.6,35.1,34.6
417,16.6,16,15.5,14.9,14.4,13.9,13.4
418,5.3,5,4.7,4.4,4.1,3.8,3.5
428,23.6,23.3,23,22.7,22.4,22.1,21.8
422,32,31.4,30.8,30.3,29.7,29.2,28.7
426,16.6,16.2,15.7,15.3,14.9,14.5,14.1
430,9.9,9.6,9.2,8.9,8.6,8.3,8
434,32.5,31.9,31.3,30.6,30,29.4,28.8
440,26.3,26,25.6,25.3,25,24.7,24.4
442,22.6,22.2,21.7,21.3,20.9,20.4,20
807,0,0,0,0,0,0,
450,5.3,5.1,4.8,4.5,4.3,4.1,3.9
454,5.8,5.5,5.3,5,4.8,4.6,4.4
458,15.6,14.9,14.3,13.7,13.1,12.6,12
466,8.6,8.2,7.9,7.5,7.2,6.8,6.5
478,12.7,12.3,11.8,11.4,11,10.6,10.3
484,28.9,28.3,27.8,27.3,26.8,26.3,25.8
498,18.9,18.5,18.2,17.8,17.5,17.2,16.9
496,20.6,19.9,19.2,18.6,17.9,17.3,16.7
499,23.3,22.8,22.4,22,21.6,21.2,20.8
504,26.1,25.4,24.7,24.1,23.4,22.8,22.1
508,7.2,6.9,6.7,6.4,6.1,5.9,5.7
104,5.8,5.4,5.1,4.8,4.6,4.3,4
516,17.2,16.7,16.1,15.6,15.1,14.6,14
524,4.1,3.9,3.7,3.5,3.3,3.1,2.9
528,20.4,20,19.5,19.1,18.6,18.2,17.7
540,0,0,0,0,0,0,
554,30.8,30.2,29.6,29,28.4,27.8,27.2
558,23.7,23.1,22.5,22,21.5,20.9,20.4
562,5.5,5.2,5,4.8,4.5,4.3,4.1
566,8.9,8.5,8.1,7.7,7.4,7,6.7
578,23.1,22.6,22.2,21.7,21.3,20.8,20.4
512,27,26.3,25.6,24.9,24.3,23.7,23.1
586,8.6,8.2,7.8,7.5,7.1,6.8,6.5
275,0,0,0,0,0,0,0
591,22.7,22.2,21.6,21.1,20.6,20.1,19.6
598,21.3,20.7,20.1,19.6,19,18.5,17.9
600,20.3,19.8,19.2,18.7,18.2,17.7,17.2
604,19.7,19.3,18.9,18.5,18.1,17.7,17.3
608,6.4,6.2,5.9,5.7,5.4,5.2,5
616,23.1,22.7,22.3,21.9,21.5,21.2,20.8
620,20.8,20.4,19.9,19.5,19,18.6,18.1
630,0,0,0,0,0,0,0
634,35.1,34.5,33.8,33.1,32.4,31.8,31.1
642,4.7,22.1,21.6,21.1,20.7,20.2,19.8
643,18.9,22.8,22.5,22.2,21.9,21.7,21.4
646,22.5,5.6,5.3,5,4.7,4.5,4.2
682,23.1,34.7,34.1,33.4,32.8,32.1,31.5
686,5.8,8.5,8.2,7.9,7.6,7.3,7.1
688,21.5,21.1,20.7,20.3,20,19.6,19.2
694,8.7,8.3,8,7.7,7.4,7.1,6.8
703,20.5,20.1,19.8,19.4,19.1,18.8,18.4
705,20.2,19.8,19.5,19.1,18.8,18.4,18.1
90,22.5,21.9,21.2,20.6,19.9,19.3,18.7
706,8.3,7.9,7.6,7.3,7,6.7,6.4
710,28.3,27.8,27.2,26.7,26.1,25.6,25.1
728,0,0,0,0,0,0,0
724,23.8,23.4,23.1,22.7,22.4,22,21.7
144,5.2,4.9,4.6,4.4,4.1,3.9,3.7
729,0,0,0,0,0,0,0
740,26.4,25.9,25.4,24.9,24.4,24,23.5
748,0,0,0,0,0,0,0
752,20.6,20.2,19.8,19.4,19,18.6,18.2
756,19.5,19.1,18.7,18.4,18,17.6,17.3
760,27.8,27.1,26.4,25.8,25.1,24.4,23.8
158,0,0,0,0,0,0,0
762,14.2,13.7,13.2,12.7,12.2,11.8,11.3
834,8.4,8,7.6,7.3,6.9,6.6,6.3
764,10,9.4,8.9,8.4,7.9,7.4,7
626,3.8,3.6,3.3,3.1,2.9,2.8,2.6
768,8.4,8.1,7.8,7.4,7.1,6.8,6.5
780,18.6,18,17.4,16.9,16.3,15.8,15.3
788,26.9,26.3,25.7,25.1,24.6,24,23.4
792,32.1,31.5,30.8,30.2,29.5,28.9,28.2
795,18.6,18,17.4,16.9,16.3,15.8,15.3
800,5.3,5,4.8,4.5,4.3,4.1,3.9
804,24.1,23.7,23.4,23,22.7,22.4,22
784,31.7,31,30.3,29.7,29,28.3,27.7
826,27.8,27.2,26.6,26,25.4,24.8,24.2
840,36.2,35.6,34.9,34.3,33.6,33,32.3
858,27.9,27.5,27,26.5,26,25.5,25.1
860,16.6,16,15.4,14.9,14.4,13.9,13.5
548,25.2,24.5,23.9,23.2,22.6,22,21.3
862,25.6,25.2,24.8,24.4,24,23.7,23.3
704,2.1,2,1.8,1.7,1.6,1.5,1.4
732,0,0,0,0,0,,0
887,17.1,16.5,15.9,15.2,14.6,14.1,13.5
894,8.1,7.7,7.4,7.1,6.8,6.5,6.3
716,15.5,15.2,14.9,14.6,14.3,14.1,13.8
