id,2016,2015,2014,2013,2012,2011,2010
4,0,0.02,0.02,0.02,0.03,0.03,0.02
8,1.9,1.94,2.02,2.09,2.22,2.4,2.39
12,0.1,0.1,0.1,0.1,0.07,0.06,0.04
24,0.53,0.7,1.21,1.02,0.98,0.98,1.02
10,0,0,0,0,0,0,0
32,0,0.81,0.56,0.52,0.25,0.24,0.45
51,3.1,3.16,3.32,3.17,3.27,3.33,3.52
36,1.25,1.22,1.23,1.29,1.26,1.34,1.3
40,0,1.7,1.7,1.7,1.7,1.7,1.7
31,0,0.4,1.61,1.57,1.53,1.5,1.46
44,0,3.56,3.51,3.46,3.56,3.68,3.69
50,0,0,0,0,0,0,0
112,4.92,4.62,5.21,5.57,7.1,6.9,5.89
56,0,1.47,1.47,1.42,1.54,1.49,1.48
84,0,1.65,1.69,1.68,1.72,1.71,1.75
204,0,0.2,0.2,0.2,0.14,0.16,0.16
64,0,0,0,0.1,0.26,0.15,0.08
68,0.76,0.76,0.77,0.77,0.75,0.73,0.69
70,0.55,0.54,0.53,0.54,0.57,0.61,0.62
72,0,0.27,0.27,0.27,0.56,1.48,0.63
76,2.16,2.24,2.33,2.44,2.51,2.58,2.61
96,0,0,0,0,0,0.05,0.03
100,4.92,4.99,4.76,4.87,4.98,5.16,5.02
854,0,0.24,0.24,0.24,0.2,0.13,0.12
108,0,0,0,0,0,0,0
116,0.39,0.39,0.4,0.41,0.41,0.4,0.39
120,0,0.01,0.01,0.01,0.02,0,0.01
124,2.1,2,2,2.1,2.1,2.1,2.1
140,0,0,0,0,0,0.02,0.04
148,0,0.04,0.04,0.04,0.04,0.04,0.03
152,0,2.43,2.28,2.19,3.15,2,2.1
156,3.86,3.81,3.76,3.73,3.72,3.67,3.98
170,1.22,1.23,1.24,1.28,1.29,1.31,1.33
178,0,0.5,0.53,0.53,0.54,0.55,0.56
180,0,0.01,0.01,0.01,0.01,0.01,0.04
188,1.03,1.02,1,1.02,0.96,1.12,1.31
384,0,0.01,0.01,0.01,0.05,0.02,0.02
191,1.34,1.34,1.33,1.28,1.25,1.21,1.2
192,2.63,2.57,2.51,2.38,2.4,2.43,2.42
196,0,4,3.6,3.25,4.47,4.61,4.86
203,3.3,3.25,3.21,3.09,3.17,3.25,3.28
208,1.63,1.68,1.57,1.57,1.46,1.46,1.46
262,0.2,0.2,0.23,0.23,0.22,0.22,0.23
214,2.31,2.34,2.33,2.43,2.48,2.5,2.61
218,0.56,0.6,0.72,0.75,0.96,1.15,1.21
818,0.06,0.06,0.07,0.06,0.07,0.06,0.07
222,1.36,1.35,1.35,1.27,1.38,1.33,1.33
226,0,0,0,0,0,0,0
232,0,0,0,0,0,0,0
233,7.72,8.37,8.7,8.93,8.53,8.18,7.53
231,0,0.12,0.12,0.12,0.12,0.05,0.06
238,0,0,0,0,0,0,0
242,0,0.64,0.64,0.64,0.64,0.62,0.88
246,1.81,1.84,1.92,2.03,2.15,2.25,2.33
250,2.43,2.42,2.47,2.5,2.54,2.64,2.65
260,0,0,0,0,0,0,0
266,0,1.27,1.35,1.45,1.44,1.69,1.7
270,0,0,0,0,0,0.01,0.01
268,2.86,2.97,3.01,2.98,3.02,2.92,2.89
276,2.07,2.49,2.48,2.41,2.46,2.43,2.15
288,0,0.13,0.13,0.13,0.1,0.11,0.04
300,1.42,1.44,1.5,1.5,1.49,1.62,1.84
304,0,0,0,0,0,0,0
320,0.67,0.67,0.67,0.85,0.93,1.13,1.14
324,0,0,0,0,0,0.01,0.01
624,0,0.39,0.39,0.39,0.4,0.51,0.52
328,2.7,2.85,3.29,3.21,3.27,3.3,3.32
332,0,5.65,5.65,5.65,5.65,5.57,5.65
340,1.49,1.47,1.37,1.65,1.67,1.69,1.71
348,0,3.57,4.08,3.73,3.88,3.82,3.68
352,1.16,1.25,1.13,1.1,1.1,1.26,1.21
356,2.81,2.79,2.81,2.85,2.87,2.79,2.57
360,0.01,0.01,0.01,0.01,0.01,0.01,0.01
364,0,0.01,0.01,0.01,0.02,0.03,0.03
368,0,0.04,0.04,0.04,0.05,0.05,0.04
372,2.15,1.97,1.98,1.92,2.08,2.1,2.09
376,1.05,1.05,1.05,1.21,1.25,1.22,1.24
380,0.69,0.74,0.86,0.79,0.79,0.84,0.84
388,1.87,1.82,1.86,1.9,1.83,1.8,1.75
392,0,2.74,2.64,2.7,2.63,2.64,2.63
400,0.29,0.29,0.34,0.34,0.35,0.37,0.39
398,5.8,5.92,6.06,6.26,6.48,6.35,6.59
404,0,1.86,1.77,2.06,1.96,1.95,1.84
408,0,3.26,3.26,3.26,3.52,3.24,2.96
410,0,0.64,0.39,0.38,0.37,0.38,0.4
414,0,0.01,0.01,0.01,0.01,0.01,0.01
417,3.37,4.02,4.89,5.05,5.15,5.32,5.43
418,0,3.39,3.39,3.39,3.48,3.66,3.65
428,4.48,4.13,4,3.99,3.77,3.57,3.64
422,0.6,0.59,0.64,0.69,0.75,0.82,0.85
426,0,0.3,0.3,0.3,0.62,0.6,0.61
430,0,3.1,3.1,3.1,3.19,3.18,3.28
434,0,0,0,0,0.01,0,0
440,5.05,5.35,5.5,5.62,5.62,5.52,5.05
442,2.25,2.46,2.48,2.46,2.5,2.54,2.4
807,0,0,0,0,0,0,0
450,0.34,0.34,0.34,0.34,0.31,0.3,0.33
454,0,0.23,0.23,0.23,0.28,0.16,0.17
458,0.11,0.11,0.11,0.12,0.12,0.11,0.1
466,0,0,0,0,0,0.02,0.02
478,0,0,0,0,0,0,0
484,1.13,1.14,1.11,1.1,1.12,1.12,1.11
498,2.35,2.43,2.47,2.77,2.82,3.04,3.09
496,0,3.09,3.09,3.09,3.14,3.19,3.33
499,0,2.83,2.71,2.63,2.54,2.47,2.37
504,0,0.07,0.06,0.07,0.08,0.09,0.09
508,0.16,0.15,0.17,0.16,0.15,0.13,0.13
104,0,1.08,1.04,1.03,1,0.92,0.82
516,0,1.08,1.08,1.08,0.84,0.21,0.07
524,0,0.12,0.12,0.12,0.12,0.12,0.12
528,0,1.32,1.32,1.32,1.57,1.45,1.57
540,0,0,0,0,0,0,0
554,2.67,2.53,2.55,2.69,2.78,2.77,2.69
558,2.3,2.25,2.13,2.19,2.26,2.02,2.01
562,0,0.04,0.04,0.04,0.09,0.07,0.05
566,0,0.06,0.06,0.06,0.06,0.06,0.08
578,1.01,1.03,1.04,1.09,1.11,1.18,1.25
512,0.22,0.22,0.22,0.24,0.27,0.28,0.29
586,0.04,0.04,0.03,0.03,0.03,0.03,0.03
275,0,0,0,0,0,0,0
591,1.3,1.3,1.29,1.56,1.71,1.75,1.8
598,0,0.02,0.02,0.02,0.02,0.01,0.02
600,1.58,1.63,1.7,1.74,1.76,1.83,1.83
604,0,1.62,1.62,1.62,1.61,1.62,1.65
608,3.28,3.26,3.39,3.39,3.63,3.45,3.3
616,3.76,3.76,3.76,4.23,3.53,3.76,3.76
620,0.82,0.82,0.82,0.82,0.86,0.92,0.93
630,0,0,1.16,1.25,1.3,1.12,1.11
634,0.83,0.79,0.73,0.74,0.7,0.71,0.7
642,0,1.7,1.4,1.4,1.1,1.4,1.9
643,3.25,3.36,3.6,4.36,4.95,5.04,5.06
646,0,0.19,0.19,0.19,0.13,0.09,0.04
682,0,0.08,0.08,0.08,0.08,0.09,0.08
686,0,0.02,0.02,0.03,0.03,0.03,0.03
688,2.32,2.28,2.26,2.24,2.27,2.27,2.27
694,0,0,0,0,0,0.02,0.02
703,4.24,4.27,4.14,4.14,4.38,4.5,4.62
705,0.84,0.86,0.82,0.89,0.87,0.86,0.89
90,0,0,0,0,0,0.03,0.07
706,0,0,0,0,0,0,0
710,1.27,1.31,1.31,1.31,1.31,1.29,1.33
728,0,0,0,0,0,0,0
724,2.39,2.21,2.19,2.2,2.2,2.42,2.76
144,0,2.31,2.03,2.18,2.43,2.7,1.97
729,0,0,0,0.02,0,0,0
740,2.06,2.36,2.94,3.41,3.34,3.25,2.94
748,0,0,0,0,0,0,0
752,1.01,1.01,0.99,1.06,1.05,1.05,1.11
756,1.75,1.76,1.76,1.76,1.88,1.88,1.77
760,0,0.2,0.18,0.13,0.19,0.51,0.65
158,0,0,0,0,0,0,0
762,0.56,0.53,0.45,0.38,0.38,0.32,0.37
834,0,0.1,0.1,0.1,0.21,0.1,0.24
764,0,4.53,4.62,4.4,4.83,5.08,4.75
626,0,0,0,0,0,0.05,0.02
768,0,0.3,0.3,0.3,0.31,0.35,0.02
780,2.79,2.77,2.79,2.78,2.84,2.76,2.75
788,0.05,0.05,0.05,0.06,0.06,0.06,0.06
792,0.44,0.47,0.48,0.49,0.51,0.55,0.5
795,1.31,1.3,1.28,1.29,1.3,1.31,1.32
800,0,0.23,0.23,0.23,0.29,0.22,0.16
804,3,2.56,2.56,3.04,3.88,4.28,4.24
784,1.72,1.68,1.6,1.54,1.48,1.46,1.4
826,2.21,2.13,2.07,2.09,2.16,2.17,2.25
840,0,3.07,3.01,2.99,2.96,2.89,2.81
858,0,1.91,2.04,1.53,1.41,1.42,1.42
860,0.91,0.91,0.92,0.92,0.83,0.84,0.83
548,0,0.31,0.31,0.31,0.31,0.31,0.38
862,1.13,1.22,1.35,1.62,1.63,1.53,1.62
704,0.24,0.23,0.21,0.21,0.14,0.11,0.09
732,0,0,0,0,0,0,0
887,0,0,0,0,0,0,0
894,0,0.01,0.01,0.01,0.38,0.34,0.35
716,0,0.43,0.43,0.32,0.44,0.32,0.34
