id,2016,2015,2014,2013,2012,2011,2010
4,0,0,0,0,0,0,0
8,1.34,1.17,1.12,1.06,1.3,1.27,1.3
12,0.14,0.14,0.18,0.18,0.18,0.17,0.16
24,0.83,1.24,2.65,1.93,1.95,1.85,1.83
10,0,0,0,0,0,0,0
32,0,3.38,3.22,3.48,4.04,4.05,3.91
51,0.26,0.2,0.13,0.13,0.31,0.39,0.3
36,3.64,3.66,3.64,3.7,3.78,3.79,3.87
40,0,3.6,4.2,3.9,4.1,4.1,4.3
31,0.14,0.13,0.15,0.15,0.15,0.15,0.15
44,0,1.44,1.31,1.35,1.61,1.65,1.54
50,0,0,0,0,0,0,0
112,0.23,0.21,0.24,0.24,0.24,0.23,0.2
56,0,3.97,3.97,3.87,3.72,3.71,3.72
84,0,0.12,0.15,0.17,0.2,0.14,0.13
204,0,0.15,0.19,0.15,0.13,0.22,0.25
64,0,0,0,0.01,0.01,0,0.02
68,0.15,0.15,0.16,0.17,0.22,0.24,0.22
70,0.38,0.37,0.47,0.47,0.48,0.48,0.44
72,0,1.46,0.86,0.41,0.42,0.55,0.71
76,0.21,0.25,0.27,0.27,0.25,0.42,0.4
96,0,0,0,0,0,0.05,0.01
100,1.97,1.96,1.74,1.53,1.93,1.72,1.73
854,0,0.13,0.14,0.1,0.1,0.18,0.17
108,0,0,0,0,0,0,0
116,0.02,0,0,0,0,0,0
120,0,0.09,0.13,0.11,0.11,0.11,0.09
124,2.1,2,2,2,2,1.9,1.9
140,0,0.01,0,0,0,0.01,0.02
148,0,0.01,0.01,0.01,0.04,0.05,0.05
152,0,2.61,2.85,2.37,2.65,2.51,3.1
156,0.18,0.17,0.16,0.17,0.18,0.21,0.17
170,0.05,0.05,0.05,0.05,0.05,0.06,0.07
178,0,0.23,0.24,0.2,0.01,0.01,0.01
180,0,0.01,0.01,0.01,0.2,0.15,0.23
188,0.27,0.27,0.26,0.23,0.2,0.21,0.19
384,0,0.24,0.25,0.27,0.27,0.27,0.27
191,4.03,3.68,4.67,5.36,5.7,6.05,5.99
192,0.23,0.23,0.23,0.23,0.08,0.08,0.06
196,0,2.71,2.78,2.48,2.61,2.56,2.67
203,2.77,2.67,2.7,2.6,2.65,2.58,2.58
208,4.27,4.21,4.34,4.35,4.13,4.99,4.88
262,0.06,0.06,0.03,0.17,0.12,0.08,0.05
214,0.24,0.24,0.22,0.2,0.19,0.18,0.16
218,0.05,0.05,0.06,0.05,0.06,0.05,0.05
818,0.01,0.01,0.02,0.02,0.02,0.02,0.02
222,0.04,0.04,0.04,0.04,0.03,0.04,0.04
226,0,1.68,1.85,1.49,3.83,3.56,3.71
232,0,0,0,0,0,0,0
233,1.14,1.23,1.28,1.31,1.26,1.2,1.11
231,0,0,0,0,0,0,0
238,0,0,0,0,0,0,0
242,0,0.03,0.03,0.03,0.03,0.02,0.02
246,1.74,1.75,1.8,1.84,1.89,1.74,1.7
250,6.9,7.09,7.04,7.13,7.33,7.41,7.27
260,0,0,0,0,0,0,0
266,0,0.88,0.83,0.92,0.91,1.11,1.16
270,0,0.06,0.04,0.02,0.02,0.02,0.02
268,3.2,3.1,2.86,2.72,3.31,3.85,3.81
276,3.1,3.84,3.41,3.55,3.47,3.46,3.29
288,0,0.1,0.09,0.15,0.24,0.21,0.17
300,2.96,3.08,3.32,3.81,3.92,4.21,4.78
304,0,0,0,0,0,0,0
320,0.03,0.04,0.04,0.04,0.04,0.03,0.03
324,0,0.03,0.03,0.03,0.03,0.02,0.03
624,0,0.88,0.86,0.76,0.89,0.89,0.69
328,0.01,0.02,0.02,0.02,0.02,0.03,0.02
332,0,0.02,0.02,0.02,0.02,0.01,0.01
340,0.03,0.03,0.03,0.03,0.03,0.03,0.03
348,0,3.41,2.9,3.2,3.2,3.49,3.16
352,2.09,2.15,2.02,1.96,1.95,1.9,1.87
356,0,0,0,0,0,0,0
360,0.22,0.22,0.19,0.18,0,0,0
364,0,0,0,0,0,0,0
368,0,0,0,0,0,0,0
372,3.21,3.06,3.08,2.98,3.23,3.26,3.26
376,0.12,0.11,0.23,0.23,0.23,0.18,0.18
380,4.58,4.61,4.97,4.86,4.99,4.45,4.45
388,0.17,0.17,0.16,0.16,0.15,0.13,0.17
392,0,0.38,0.37,0.36,0.34,0.3,0.28
400,0.01,0.01,0.01,0.01,0.02,0.02,0.02
398,5.8,5.92,6.06,6.26,6.48,6.35,6.59
404,0,1.86,1.77,2.06,1.96,1.95,1.84
408,0,0,0,0,0,0,0
410,0,0.17,0.15,0.15,0.13,0.13,0.14
414,0,0,0,0,0,0,0
417,0.08,0.09,0.12,0.12,0.12,0.12,0.12
418,0,0,0,0,0,0,0
428,1.24,1.24,1.2,1.1,1.16,1.13,1.05
422,0.19,0.19,0.33,0.33,0.33,0.28,0.28
426,0,0.09,0.09,0.09,0,0.01,0.01
430,0,0.06,0.03,0.05,0.03,0.05,0.03
434,0,0,0,0,0,0,0
440,0.99,1.03,1.08,1.1,1.1,1.08,0.99
442,5,5.47,5.23,5.34,5.4,5.44,5.28
807,0,0,0,0,0,0,0
450,0.07,0.08,0.1,0.11,0.17,0.17,0.17
454,0,0.02,0.02,0.02,0.02,0.02,0.02
458,0.13,0.13,0.07,0.07,0,0,0
466,0,0.01,0.01,0.01,0.01,0.01,0.01
478,0,0,0,0,0,0,0
484,0.11,0.11,0.23,0.22,0.2,0.2,0.12
498,5.26,5.25,4.84,4.85,4.86,3.58,2.59
496,0,0.1,0.12,0.13,0.12,0.15,0.15
499,0,2.76,3,3.01,3.02,3.05,3.99
504,0,0.16,0.28,0.28,0.28,0.27,0.27
508,0.11,0.11,0.12,0.1,0.11,0.12,0.1
104,0,0.16,0.15,0.18,0,0,0
516,0,0.81,0.81,0.81,0.59,0.06,0.06
524,0,0.29,0.4,0.34,0,0,0
528,0,2.88,3,3.01,3.37,3.38,3.39
540,0,0,0,0,0,0,0
554,3.08,2.97,3.19,3.05,3.03,3.02,3.23
558,0.03,0.03,0.02,0.02,0.02,0.02,0.02
562,0,0.01,0.01,0.01,0.02,0.01,0.01
566,0,0.04,0.05,0.05,0.05,0.04,0.03
578,2.21,2.22,2.25,2.3,2.29,2.3,2.29
512,0.01,0.02,0.02,0.01,0.03,0.02,0.03
586,0,0,0,0,0,0,0
275,0,0,0,0,0,0,0
591,0.23,0.24,0.24,0.25,0.24,0.24,0.22
598,0,0.02,0.02,0.02,0.03,0.02,0.01
600,1.01,0.81,1.13,1.14,1.14,1.4,1.66
604,0,0.41,0.42,0.36,0.57,0.54,0.49
608,0.02,0.02,0.02,0.02,0.04,0.04,0.04
616,0.82,0.89,0.89,0.82,0.83,0.9,0.97
620,6.55,6.54,6.38,6.5,6.76,7.43,7.47
630,0,0,0.4,0.34,0.33,0.32,0.32
634,0.13,0.13,0.13,0.17,0.12,0.13,0.11
642,0,2.92,3.2,3.1,2.8,2.8,2.6
643,1.08,0.87,0.89,0.84,0.93,0.96,1.02
646,0,0.01,0.01,0.01,0,0,0
682,0,0,0,0,0,0,0
686,0,0.08,0.08,0.08,0.11,0.13,0.12
688,3.89,3.89,3.88,3.9,3.61,3.75,3.95
694,0,0.04,0.03,0.04,0.03,0.03,0.02
703,2.12,2.61,2.84,2.37,2.13,2.25,2.13
705,5.32,4.9,4.73,4.09,5.5,4.81,4.85
90,0,0.03,0.03,0.04,0.04,0.03,0.03
706,0,0,0,0,0,0,0
710,1.32,1.3,1.24,1.19,1.21,1.22,1.22
728,0,0,0,0,0,0,0
724,1.55,1.55,2.16,2.15,2.21,2.2,2.15
144,0,0.01,0.01,0,0,0,0
729,0,0,0,0,0,0,0
740,0.15,0.15,0.17,0.19,0.11,0.16,0.13
748,0,0,0,0,0,0,0
752,3.43,3.42,3.46,3.5,3.43,3.47,3.4
756,4.54,4.58,4.58,4.69,4.7,4.82,4.94
760,0,0,0,0,0,0.01,0.01
158,0,0,0,0,0,0,0
762,0.01,0.01,0.02,0.02,0.02,0.02,0.02
834,0,0.02,0.02,0.02,0.02,0.01,0.01
764,0,0.18,0.18,0.17,0.15,0.12,0.09
626,0,0.18,0.18,0.18,0.19,0.08,0.05
768,0,0.26,0.27,0.27,0.36,0.34,0.29
780,0.25,0.25,0.29,0.2,0.15,0.13,0.13
788,0.34,0.33,0.48,0.48,0.48,0.38,0.35
792,0.11,0.13,0.13,0.13,0.12,0.12,0.13
795,1.21,1.22,1.76,1.76,1.76,1.8,1.88
800,0,0.01,0.01,0.01,0.01,0.01,0.01
804,0.31,0.32,0.32,0.38,0.48,0.58,0.6
784,0.16,0.14,0.14,0.12,0.12,0.11,0.11
826,3.5,3.48,3.38,3.36,3.3,3.3,3.3
840,0,1.59,1.61,1.59,1.6,1.55,1.45
858,0,3.94,3.83,3.97,3.72,4.12,4.13
860,0.14,0.14,0.13,0.13,0.13,0.13,0.12
548,0,0.22,0.22,0.2,0.24,0.17,0.19
862,0.01,0.01,0.05,0.04,0.1,0.09,0.06
704,0.02,0.02,0.02,0.02,0.02,0.02,0.02
732,0,0,0,0,0,0,0
887,0,0,0,0,0,0,0
894,0,0.08,0.09,0.07,0.06,0.06,0.07
716,0,0.05,0.05,0.13,0.09,0.13,0.1
